ID,depth
1_4,4
1_19,19
1_40,40
1_80,80
1_100,100
1_150,150
2_20,20
2_60,60
2_90,90
2_120,120
2_150,150
2_200,200
2_400,400
2_600,600
2_800,800
3_4,4
3_20,20
3_40,40
3_80,80
3_100,100
3_120,120
3_150,150
5_20,20
5_40,40
5_70,70
5_100,100
5_150,150
5_200,200
5_400,400
5_600,600
5_880,880
6_20,20
6_40,40
6_70,70
6_110,110
6_150,150
6_200,200
6_400,400
6_600,600
7_20,20
7_40,40
7_70,70
7_150,150
7_300,300
8_20,20
8_40,40
8_120,120
8_250,250
