ID,Depth, Fungi (spectral counts/L)
6_20,20,9
6_40,40,4
6_70,70,3
6_110,110,7
6_150,150,4
6_200,200,5
6_400,400,3
6_600,600,12
6_800,800,6
6_1000,1000,37
6_1500,1500,19
6_2000,2000,15
6_2500,2500,37
6_3000,3000,84
6_3500,3500,246
6_4000,4000,100
6_4050,4050,295
6_4100,4100,203
