ID,ChlC3,ChlC2,Per,NBut,Fux,NHex,Prx,Vix,Ddx,Alx,Dtx,Lut,Zex,ChlB,DvA,Chla,ABCar
7_20,4.17,5.19,0.00,3.15,2.20,12.51,0.00,0.67,3.95,0.49,0.28,0.26,32.79,4.48,16.46,68.82,4.88
7_40,2.87,5.18,1.81,3.18,2.39,11.82,0.00,1.02,2.81,0.00,0.00,0.00,21.93,3.22,19.17,53.62,3.08
7_70,11.89,12.51,2.94,9.69,4.59,34.55,0.00,1.52,2.98,0.98,0.00,0.00,44.33,13.48,48.93,137.45,8.67
7_108,36.5,21,4.5,38,5.5,55.5,3.5,0,5,1,0.5,0.5,48.5,86,0,240,29.5
7_112,,,,,,,,,,,,,,,,,
7_117,,,,,,,,,,,,,,,,,
7_122,,,,,,,,,,,,,,,,,
7_150,3.05,2.23,0.00,5.83,1.07,13.22,0.00,0.00,0.69,0.00,0.00,0.00,2.26,7.05,6.52,25.45,1.55
7_300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7_500,,,,,,,,,,,,,,,,,
7_700,,,,,,,,,,,,,,,,,
8_20,6.11,16.92,6.75,7.17,20.13,28.76,0.00,1.16,10.89,0.00,3.49,0.00,47.71,10.26,51.88,194.72,11.99
8_40,110.54,116.40,14.00,24.07,172.84,143.22,0.00,0.00,23.88,6.82,4.12,0.00,12.16,41.12,48.06,444.04,8.88
8_120,7.86,7.27,1.89,1.69,25.41,10.66,0.00,1.27,1.48,1.90,3.15,0.00,1.23,4.80,6.82,50.22,0.00
8_175,,,,,,,,,,,,,,,,,
8_250,0.00,0.00,0.00,0.00,1.60,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.01,0.00
8_400,,,,,,,,,,,,,,,,,
8_600,,,,,,,,,,,,,,,,,
8_800,,,,,,,,,,,,,,,,,
