Latitude,Longitude,Station,depth,Fe,Zn,Cd,Ni,Cu,Mn,PO4,NO2+NO3,Si,NO2,NH4,pMn,pFe,pNi,pCu,pZn,pCd
35.986762,-69.017452,5,10,0.894622555,0.222010053,0.005196488,2.016528378,1.001360334,2.271700939,0.16,0.2,0.2,0.05,0.39,,,,,,
35.986762,-69.017452,5,20,0.514875563,-0.383267173,0.008950062,1.955583986,0.921062011,2.102195853,0.19,0.1,0.4,0.03,0.2,,,,,,
35.986762,-69.017452,5,40,0.375273181,-0.254178829,0.003683698,2.01833135,0.982001807,1.308710303,0.13,0.2,0.2,0.03,0.17,,,,,,
35.986762,-69.017452,5,70,0.435657433,3.410456221,0.004891089,2.112510215,0.825472558,1.295336902,0.19,0.1,0.2,0.04,0.07,,,,,,
35.986762,-69.017452,5,100,0.188078291,5.570715965,0.016112239,1.948850362,0.633373273,1.254293252,0.17,0.3,0,0.07,0.14,,,,,,
35.986762,-69.017452,5,120,0.505778907,3.401763635,0.011169829,1.868976033,0.747314573,0.900009175,0.23,1,0.4,0.11,0.11,,,,,,
35.986762,-69.017452,5,150,1.62847234,0.904918547,0.038871209,1.947272533,0.819150812,0.212637224,0.27,1.7,0.4,0.08,0,,,,,,
35.986762,-69.017452,5,200,1.18045249,-1.022484492,0.036808072,1.941081586,0.868099512,0.13285188,0.27,2.2,0.4,0.05,0.11,,,,,,
35.986762,-69.017452,5,400,0.602835734,-2.176950092,0.045964203,2.068411706,0.939655294,0.080460989,0.21,1.6,0.2,0.05,0.3,,,,,,
35.986762,-69.017452,5,600,0.70780959,-0.413871042,0.079614507,2.413372687,0.929765483,0.139340088,0.68,8.8,2.7,0.06,0.11,,,,,,
35.986762,-69.017452,5,880,0.785810219,0.031950812,0.326222975,3.86809325,1.071714969,0.091988777,1.37,17.4,8.5,0.04,0.08,,,,,,
35.986762,-69.017452,5,1200,0.973368773,7.107604793,0.287699758,3.833501333,1.160881146,0.296054818,1.2,14.6,8.3,0.04,0.1,,,,,,
37.002833,-70.00289,6,10,1.086871272,0.044528956,0.008237082,2.026925568,1.008683389,3.636691071,0.16,0.3,0.7,0.01,0.02,,,,,,
37.002833,-70.00289,6,20,0.555942488,0.950627555,0.013922617,2.053780128,1.065500352,4.137237542,0.15,0.1,0.5,0.02,0.07,,,,,,
37.002833,-70.00289,6,40,0.543042455,-0.01465956,0.008986197,2.103949975,0.972504867,3.291349947,0.16,0,0.5,0.02,0.03,,,,,,
37.002833,-70.00289,6,70,1.020823038,5.232679665,0.011942705,1.982212534,0.676299242,2.18873002,0.17,0.1,0.5,0.03,0.02,,,,,,
37.002833,-70.00289,6,100,0.72638377,7.709866466,0.011107246,1.94226132,0.658624902,1.603355433,0.1,0.3,0.2,0.06,0.16,,,,,,
37.002833,-70.00289,6,120,0.672207311,3.348842878,0.005453202,2.019858902,0.824310956,,0.16,0.2,0.1,0.02,0.17,,,,,,
37.002833,-70.00289,6,150,0.608094223,2.218563386,0.01541188,1.922041777,0.846506256,0.645706865,0.2,1.5,0.4,0.04,0.09,,,,,,
