BRITE,KO,,,
ko04131 Membrane trafficking,ko:K12567,,,
ko04131 Membrane trafficking,ko:K13342,,,
ko04131 Membrane trafficking,ko:K13525,,,
ko04131 Membrane trafficking,ko:K14012,,,
ko04131 Membrane trafficking,ko:K13305,,,
ko04131 Membrane trafficking,ko:K14004,,,
ko04131 Membrane trafficking,ko:K14005,,,
ko04131 Membrane trafficking,ko:K14006,,,
ko04131 Membrane trafficking,ko:K14007,,,
ko04131 Membrane trafficking,ko:K13984,,,
ko04131 Membrane trafficking,ko:K13339,,,
ko04131 Membrane trafficking,ko:K13289,,,
ko04131 Membrane trafficking,ko:K13411,,,
ko04131 Membrane trafficking,ko:K14381,,,
ko04131 Membrane trafficking,ko:K14454,,,
ko04131 Membrane trafficking,ko:K14209,,,
ko04131 Membrane trafficking,ko:K15296,,,
ko04131 Membrane trafficking,ko:K15620,,,
ko04131 Membrane trafficking,ko:K17065,,,
ko04131 Membrane trafficking,ko:K17267,,,
ko04131 Membrane trafficking,ko:K17268,,,
ko04131 Membrane trafficking,ko:K17260,,,
ko04131 Membrane trafficking,ko:K17261,,,
ko04131 Membrane trafficking,ko:K18468,,,
ko04131 Membrane trafficking,ko:K18467,,,
ko04131 Membrane trafficking,ko:K18466,,,
ko04131 Membrane trafficking,ko:K18463,,,
ko04131 Membrane trafficking,ko:K18464,,,
ko04131 Membrane trafficking,ko:K18442,,,
ko04131 Membrane trafficking,ko:K18443,,,
ko04131 Membrane trafficking,ko:K17301,,,
ko04131 Membrane trafficking,ko:K17302,,,
ko04131 Membrane trafficking,ko:K17339,,,
ko04131 Membrane trafficking,ko:K17900,,,
ko04131 Membrane trafficking,ko:K17987,,,
ko04131 Membrane trafficking,ko:K17697,,,
ko04131 Membrane trafficking,ko:K19006,,,
ko04131 Membrane trafficking,ko:K18739,,,
ko04131 Membrane trafficking,ko:K19525,,,
ko04131 Membrane trafficking,ko:K19919,,,
ko04131 Membrane trafficking,ko:K19931,,,
ko04131 Membrane trafficking,ko:K19933,,,
ko04131 Membrane trafficking,ko:K19941,,,
ko04131 Membrane trafficking,ko:K19942,,,
ko04131 Membrane trafficking,ko:K19953,,,
ko04131 Membrane trafficking,ko:K19951,,,
ko04131 Membrane trafficking,ko:K19947,,,
ko04131 Membrane trafficking,ko:K19949,,,
ko04131 Membrane trafficking,ko:K19984,,,
ko04131 Membrane trafficking,ko:K19998,,,
ko04131 Membrane trafficking,ko:K20028,,,
ko04131 Membrane trafficking,ko:K20029,,,
ko04131 Membrane trafficking,ko:K20003,,,
ko04131 Membrane trafficking,ko:K20032,,,
ko04131 Membrane trafficking,ko:K20045,,,
ko04131 Membrane trafficking,ko:K20051,,,
ko04131 Membrane trafficking,ko:K20054,,,
ko04131 Membrane trafficking,ko:K20279,,,
ko04131 Membrane trafficking,ko:K20068,,,
ko04131 Membrane trafficking,ko:K20131,,,
ko04131 Membrane trafficking,ko:K20165,,,
ko04131 Membrane trafficking,ko:K20168,,,
ko04131 Membrane trafficking,ko:K20175,,,
ko04131 Membrane trafficking,ko:K20176,,,
ko04131 Membrane trafficking,ko:K20183,,,
ko04131 Membrane trafficking,ko:K20184,,,
ko04131 Membrane trafficking,ko:K20195,,,
ko04131 Membrane trafficking,ko:K20242,,,
ko04131 Membrane trafficking,ko:K20163,,,
ko04131 Membrane trafficking,ko:K20030,,,
ko04131 Membrane trafficking,ko:K20296,,,
ko04131 Membrane trafficking,ko:K20299,,,
ko04131 Membrane trafficking,ko:K20285,,,
ko04131 Membrane trafficking,ko:K20293,,,
ko04131 Membrane trafficking,ko:K20301,,,
ko04131 Membrane trafficking,ko:K20305,,,
ko04131 Membrane trafficking,ko:K20346,,,
ko04131 Membrane trafficking,ko:K20347,,,
ko04131 Membrane trafficking,ko:K20359,,,
ko04131 Membrane trafficking,ko:K20365,,,
ko04131 Membrane trafficking,ko:K20367,,,
ko04131 Membrane trafficking,ko:K20369,,,
ko04131 Membrane trafficking,ko:K20371,,,
ko04131 Membrane trafficking,ko:K20471,,,
ko04131 Membrane trafficking,ko:K20472,,,
ko04131 Membrane trafficking,ko:K20478,,,
ko04131 Membrane trafficking,ko:K19873,,,
ko04131 Membrane trafficking,ko:K20404,,,
ko04131 Membrane trafficking,ko:K20520,,,
ko04131 Membrane trafficking,ko:K20521,,,
ko04131 Membrane trafficking,ko:K20523,,,
ko04131 Membrane trafficking,ko:K20526,,,
ko04131 Membrane trafficking,ko:K20641,,,
ko04131 Membrane trafficking,ko:K20704,,,
ko04131 Membrane trafficking,ko:K21073,,,
ko04131 Membrane trafficking,ko:K22125,,,
ko04131 Membrane trafficking,ko:K22127,,,
ko04131 Membrane trafficking,ko:K21440,,,
ko04131 Membrane trafficking,ko:K21413,,,
ko04131 Membrane trafficking,ko:K21850,,,
ko04131 Membrane trafficking,ko:K21997,,,
ko04131 Membrane trafficking,ko:K22255,,,
ko04131 Membrane trafficking,ko:K21343,,,
ko04131 Membrane trafficking,ko:K21421,,,
ko04131 Membrane trafficking,ko:K21868,,,
ko03036 Chromosome and associated proteins,ko:K05692,,,
ko03036 Chromosome and associated proteins,ko:K07374,,,
ko03036 Chromosome and associated proteins,ko:K07375,,,
ko03036 Chromosome and associated proteins,ko:K00558,,,
ko03036 Chromosome and associated proteins,ko:K01623,,,
ko03036 Chromosome and associated proteins,ko:K02180,,,
ko03036 Chromosome and associated proteins,ko:K02156,,,
ko03036 Chromosome and associated proteins,ko:K02206,,,
ko03036 Chromosome and associated proteins,ko:K02183,,,
ko03036 Chromosome and associated proteins,ko:K02540,,,
ko03036 Chromosome and associated proteins,ko:K02541,,,
ko03036 Chromosome and associated proteins,ko:K03115,,,
ko03036 Chromosome and associated proteins,ko:K03094,,,
ko03036 Chromosome and associated proteins,ko:K03083,,,
ko03036 Chromosome and associated proteins,ko:K03126,,,
ko03036 Chromosome and associated proteins,ko:K03129,,,
ko03036 Chromosome and associated proteins,ko:K03132,,,
ko03036 Chromosome and associated proteins,ko:K03164,,,
ko03036 Chromosome and associated proteins,ko:K03353,,,
ko03036 Chromosome and associated proteins,ko:K03357,,,
ko03036 Chromosome and associated proteins,ko:K03363,,,
ko03036 Chromosome and associated proteins,ko:K03530,,,
ko03036 Chromosome and associated proteins,ko:K04498,,,
ko03036 Chromosome and associated proteins,ko:K04499,,,
ko03036 Chromosome and associated proteins,ko:K04371,,,
ko03036 Chromosome and associated proteins,ko:K04382,,,
ko03036 Chromosome and associated proteins,ko:K04345,,,
ko03036 Chromosome and associated proteins,ko:K04648,,,
ko03036 Chromosome and associated proteins,ko:K04638,,,
ko03036 Chromosome and associated proteins,ko:K04986,,,
ko03036 Chromosome and associated proteins,ko:K06636,,,
ko03036 Chromosome and associated proteins,ko:K06669,,,
ko03036 Chromosome and associated proteins,ko:K06672,,,
ko03036 Chromosome and associated proteins,ko:K06067,,,
ko03036 Chromosome and associated proteins,ko:K05931,,,
ko03036 Chromosome and associated proteins,ko:K06674,,,
ko03036 Chromosome and associated proteins,ko:K06675,,,
ko03036 Chromosome and associated proteins,ko:K06676,,,
ko03036 Chromosome and associated proteins,ko:K06631,,,
ko03036 Chromosome and associated proteins,ko:K06627,,,
ko03036 Chromosome and associated proteins,ko:K06272,,,
ko03036 Chromosome and associated proteins,ko:K06916,,,
ko03036 Chromosome and associated proteins,ko:K07936,,,
ko03036 Chromosome and associated proteins,ko:K07944,,,
ko03036 Chromosome and associated proteins,ko:K07901,,,
ko03036 Chromosome and associated proteins,ko:K08861,,,
ko03036 Chromosome and associated proteins,ko:K08796,,,
ko03036 Chromosome and associated proteins,ko:K08857,,,
ko03036 Chromosome and associated proteins,ko:K08850,,,
ko03036 Chromosome and associated proteins,ko:K08862,,,
ko03036 Chromosome and associated proteins,ko:K08871,,,
ko03036 Chromosome and associated proteins,ko:K09187,,,
ko03036 Chromosome and associated proteins,ko:K08959,,,
ko03036 Chromosome and associated proteins,ko:K08960,,,
ko03036 Chromosome and associated proteins,ko:K09493,,,
ko03036 Chromosome and associated proteins,ko:K09494,,,
ko03036 Chromosome and associated proteins,ko:K09495,,,
ko03036 Chromosome and associated proteins,ko:K09496,,,
ko03036 Chromosome and associated proteins,ko:K09497,,,
ko03036 Chromosome and associated proteins,ko:K09500,,,
ko03036 Chromosome and associated proteins,ko:K09142,,,
ko03036 Chromosome and associated proteins,ko:K10413,,,
ko03036 Chromosome and associated proteins,ko:K10414,,,
ko03036 Chromosome and associated proteins,ko:K10393,,,
ko03036 Chromosome and associated proteins,ko:K10391,,,
ko03036 Chromosome and associated proteins,ko:K10426,,,
ko03036 Chromosome and associated proteins,ko:K10421,,,
ko03036 Chromosome and associated proteins,ko:K10683,,,
ko03036 Chromosome and associated proteins,ko:K10359,,,
ko03036 Chromosome and associated proteins,ko:K10595,,,
ko03036 Chromosome and associated proteins,ko:K10398,,,
ko03036 Chromosome and associated proteins,ko:K10405,,,
ko03036 Chromosome and associated proteins,ko:K11268,,,
ko03036 Chromosome and associated proteins,ko:K10755,,,
ko03036 Chromosome and associated proteins,ko:K10756,,,
ko03036 Chromosome and associated proteins,ko:K11273,,,
ko03036 Chromosome and associated proteins,ko:K11275,,,
ko03036 Chromosome and associated proteins,ko:K11251,,,
ko03036 Chromosome and associated proteins,ko:K11252,,,
ko03036 Chromosome and associated proteins,ko:K11253,,,
ko03036 Chromosome and associated proteins,ko:K11254,,,
ko03036 Chromosome and associated proteins,ko:K11276,,,
ko03036 Chromosome and associated proteins,ko:K11278,,,
ko03036 Chromosome and associated proteins,ko:K11279,,,
ko03036 Chromosome and associated proteins,ko:K11282,,,
ko03036 Chromosome and associated proteins,ko:K11294,,,
ko03036 Chromosome and associated proteins,ko:K10802,,,
ko03036 Chromosome and associated proteins,ko:K11295,,,
ko03036 Chromosome and associated proteins,ko:K11296,,,
ko03036 Chromosome and associated proteins,ko:K11338,,,
ko03036 Chromosome and associated proteins,ko:K11341,,,
ko03036 Chromosome and associated proteins,ko:K11374,,,
ko03036 Chromosome and associated proteins,ko:K11405,,,
ko03036 Chromosome and associated proteins,ko:K11412,,,
ko03036 Chromosome and associated proteins,ko:K11416,,,
ko03036 Chromosome and associated proteins,ko:K11417,,,
ko03036 Chromosome and associated proteins,ko:K11450,,,
ko03036 Chromosome and associated proteins,ko:K11420,,,
ko03036 Chromosome and associated proteins,ko:K11426,,,
ko03036 Chromosome and associated proteins,ko:K11419,,,
ko03036 Chromosome and associated proteins,ko:K11434,,,
ko03036 Chromosome and associated proteins,ko:K11438,,,
ko03036 Chromosome and associated proteins,ko:K11446,,,
ko03036 Chromosome and associated proteins,ko:K11323,,,
ko03036 Chromosome and associated proteins,ko:K11471,,,
ko03036 Chromosome and associated proteins,ko:K11121,,,
ko03036 Chromosome and associated proteins,ko:K11493,,,
ko03036 Chromosome and associated proteins,ko:K11498,,,
ko03036 Chromosome and associated proteins,ko:K11507,,,
ko03036 Chromosome and associated proteins,ko:K11479,,,
ko03036 Chromosome and associated proteins,ko:K11571,,,
ko03036 Chromosome and associated proteins,ko:K11480,,,
ko03036 Chromosome and associated proteins,ko:K11583,,,
